Strain, Fx, Fz 
-4.05366491627087e-01, -2.79562758239276e-01, 1.14673388027471e-01 
-3.97177269574014e-01, -2.43296001245112e-01, 9.76901840416941e-02 
-3.88988047520942e-01, -2.20370696632861e-01, 8.61706592081140e-02 
-3.80798825467869e-01, -1.99881502806526e-01, 7.64355313315630e-02 
-3.72609603414797e-01, -1.80041638019559e-01, 6.70386055520104e-02 
-3.64420381361724e-01, -1.66447598692237e-01, 6.04065933816978e-02 
-3.56231159308652e-01, -1.54457713046117e-01, 5.47112782137167e-02 
-3.48041937255580e-01, -1.40421596889114e-01, 4.82491812189653e-02 
-3.39852715202507e-01, -1.22307568168849e-01, 4.00832860376894e-02 
-3.31663493149434e-01, -1.08391287426218e-01, 3.38891315443963e-02 
-3.23474271096362e-01, -9.76438056446797e-02, 2.91971143307365e-02 
-3.15285049043290e-01, -8.98497466478969e-02, 2.59548114165386e-02 
-3.07095826990217e-01, -8.10271620091292e-02, 2.20831924570607e-02 
-2.98906604937145e-01, -7.22204899676371e-02, 1.81555058601510e-02 
-2.90717382884072e-01, -6.62932260896340e-02, 1.58203208902738e-02 
-2.82528160831000e-01, -6.08509909862634e-02, 1.38253766862566e-02 
-2.74338938777927e-01, -5.47927350410029e-02, 1.16016294038881e-02 
-2.66149716724855e-01, -5.03964660435435e-02, 9.94679343342609e-03 
-2.57960494671782e-01, -4.68712240866308e-02, 8.62385248364235e-03 
-2.49771272618710e-01, -4.40938839777180e-02, 7.75580151197111e-03 
-2.41582050565638e-01, -4.09388534873580e-02, 6.77597000627216e-03 
-2.33392828512565e-01, -3.69398992444908e-02, 5.51680078288587e-03 
-2.25203606459493e-01, -3.38765344614742e-02, 4.55532353985827e-03 
-2.17014384406420e-01, -3.16057108766114e-02, 3.84451136332077e-03 
-2.08825162353348e-01, -2.90419936921049e-02, 3.12142486952954e-03 
-2.00635940300275e-01, -2.68672436773012e-02, 2.59143556264010e-03 
-1.92446718247203e-01, -2.51360210971662e-02, 2.15234919112365e-03 
-1.84257496194130e-01, -2.32481430058219e-02, 1.65073557930701e-03 
-1.76068274141058e-01, -2.10760893351559e-02, 1.16157143259585e-03 
-1.67879052087985e-01, -1.94129450737136e-02, 8.81994628749957e-04 
-1.59689830034913e-01, -1.79102999290095e-02, 5.47980554664985e-04 
-1.51500607981840e-01, -1.63716834770433e-02, 2.09678198907484e-04 
-1.43311385928768e-01, -1.53255557845158e-02, 1.97110097513049e-04 
-1.35122163875696e-01, -1.42138205552792e-02, 1.87872206236101e-04 
-1.26932941822623e-01, -1.23493082074676e-02, -7.48364751606478e-05 
-1.18743719769551e-01, -1.07952717904887e-02, -2.67831267460478e-04 
-1.10554497716478e-01, -9.70167364982063e-03, -3.35403297491706e-04 
-1.02365275663406e-01, -9.46231332360192e-03, -1.87300539477675e-04 
-9.41760536103333e-02, -9.26075852536555e-03, -8.48271701384328e-05 
-8.59868315572608e-02, -8.77472395903150e-03, -1.52888541312430e-04 
-7.77976095041884e-02, -7.59751756707767e-03, -2.31024298605809e-04 
-6.96083874511159e-02, -6.35955380548616e-03, -3.41285942184344e-04 
-6.14191653980435e-02, -5.66816162472943e-03, -3.80359218555622e-04 
-5.32299433449710e-02, -4.97862804069914e-03, -3.68162223921023e-04 
-4.50407212918985e-02, -4.20363223477928e-03, -3.44533229642559e-04 
-3.68514992388261e-02, -3.41565195156307e-03, -3.20320075468584e-04 
-2.86622771857536e-02, -2.66977047282201e-03, -2.95905042309279e-04 
-2.04730551326812e-02, -2.07437774848781e-03, -2.93380717275588e-04 
-1.22838330796087e-02, -1.31796697187218e-03, -1.48410589670554e-04 
-4.09461102653625e-03, -3.84069174344566e-04, -5.05884603967041e-05 
4.09461102653619e-03, 3.84069174344560e-04, 5.05884603967032e-05 
1.22838330796087e-02, 1.07637638536968e-03, 1.13002386681794e-04 
2.04730551326811e-02, 1.85585663729269e-03, 1.25178754231338e-04 
2.86622771857536e-02, 2.52397979816708e-03, 2.23643528618900e-04 
3.68514992388260e-02, 3.03099633540493e-03, 4.07273915828620e-04 
4.50407212918985e-02, 3.52937516938389e-03, 5.10742850865171e-04 
5.32299433449710e-02, 4.06744308378273e-03, 6.09304774864378e-04 
6.14191653980434e-02, 4.82477359662039e-03, 7.04051145147669e-04 
6.96083874511159e-02, 5.94975375081501e-03, 8.13292336878506e-04 
7.77976095041883e-02, 7.12138613649378e-03, 9.47527958214496e-04 
8.59868315572608e-02, 7.80326471489100e-03, 1.17047381264733e-03 
9.41760536103332e-02, 8.61958304440253e-03, 1.41475740360182e-03 
1.02365275663406e-01, 9.33258959277220e-03, 1.51187544666790e-03 
1.10554497716478e-01, 1.01171648394657e-02, 1.68363069769294e-03 
1.18743719769551e-01, 1.11258208769161e-02, 1.90316976328080e-03 
1.26932941822623e-01, 1.26693299021224e-02, 2.11160721796507e-03 
1.35122163875696e-01, 1.38851192576753e-02, 2.45460153254673e-03 
1.43311385928768e-01, 1.47944663070548e-02, 2.87184721255400e-03 
1.51500607981840e-01, 1.55376772127885e-02, 3.13691687348590e-03 
1.59689830034913e-01, 1.63778829903040e-02, 3.36778774320208e-03 
1.67879052087985e-01, 1.77386924363464e-02, 3.67113144993307e-03 
1.76068274141058e-01, 2.01463945890705e-02, 4.32600117856707e-03 
