Strain, Fz 
-1.19266730446448e-01, -1.57204837343509e-01 
-1.16857301548540e-01, -1.46369191179697e-01 
-1.14447872650632e-01, -1.38890068611423e-01 
-1.12038443752724e-01, -1.29007407461560e-01 
-1.09629014854816e-01, -1.23265769139720e-01 
-1.07219585956908e-01, -1.16352403885083e-01 
-1.04810157059000e-01, -1.09097045145034e-01 
-1.02400728161092e-01, -1.01554353759244e-01 
-9.99912992631838e-02, -9.42738693312120e-02 
-9.75818703652758e-02, -8.75385540063876e-02 
-9.51724414673677e-02, -8.24351620802854e-02 
-9.27630125694597e-02, -7.85920060328307e-02 
-9.03535836715516e-02, -7.51450660805695e-02 
-8.79441547736436e-02, -7.17954485770603e-02 
-8.55347258757355e-02, -6.86810405861479e-02 
-8.31252969778275e-02, -6.55728502582869e-02 
-8.07158680799194e-02, -6.29414105424733e-02 
-7.83064391820114e-02, -6.03143060160913e-02 
-7.58970102841034e-02, -5.76968565516274e-02 
-7.34875813861953e-02, -5.50889450611227e-02 
-7.10781524882873e-02, -5.24911098580123e-02 
-6.86687235903792e-02, -4.99485454259622e-02 
-6.62592946924712e-02, -4.74059809939120e-02 
-6.38498657945631e-02, -4.50990439428719e-02 
-6.14404368966551e-02, -4.27610685884271e-02 
-5.90310079987471e-02, -4.04226743301340e-02 
-5.66215791008390e-02, -3.77581500960917e-02 
-5.42121502029310e-02, -3.50157386684583e-02 
-5.18027213050229e-02, -3.22057706025241e-02 
-4.93932924071149e-02, -2.94107120779142e-02 
-4.69838635092068e-02, -2.68718661947826e-02 
-4.45744346112988e-02, -2.50311281759123e-02 
-4.21650057133908e-02, -2.32976001756924e-02 
-3.97555768154827e-02, -2.18048766678547e-02 
-3.73461479175747e-02, -2.03130447544191e-02 
-3.49367190196666e-02, -1.91165962585294e-02 
-3.25272901217586e-02, -1.79926991048800e-02 
-3.01178612238505e-02, -1.68802883185087e-02 
-2.77084323259425e-02, -1.57490952144103e-02 
-2.52990034280345e-02, -1.46195300138589e-02 
-2.28895745301264e-02, -1.31597942269439e-02 
-2.04801456322184e-02, -1.16349919031930e-02 
-1.80707167343103e-02, -9.95623529337500e-03 
-1.56612878364023e-02, -8.17185304681166e-03 
-1.32518589384942e-02, -6.39352989036562e-03 
-1.08424300405862e-02, -4.98614875309043e-03 
-8.43300114267815e-03, -3.57876761581522e-03 
-6.02357224477012e-03, -2.42837866710902e-03 
-3.61414334686207e-03, -1.41296029960169e-03 
-1.20471444895403e-03, -4.27925582769328e-04 
1.20471444895402e-03, 4.27925582769325e-04 
3.61414334686207e-03, 1.28377674830798e-03 
6.02357224477010e-03, 2.17186399243212e-03 
8.43300114267815e-03, 3.07103282564150e-03 
1.08424300405862e-02, 3.98095787704526e-03 
1.32518589384942e-02, 5.01785874458513e-03 
1.56612878364023e-02, 6.05927375195251e-03 
1.80707167343103e-02, 7.28262644772844e-03 
2.04801456322184e-02, 8.52843181066329e-03 
2.28895745301264e-02, 1.00086853527874e-02 
2.52990034280345e-02, 1.16954922902717e-02 
2.77084323259425e-02, 1.35398683301783e-02 
3.01178612238505e-02, 1.58991991356001e-02 
3.25272901217586e-02, 1.82585299410219e-02 
3.49367190196666e-02, 2.06405718118016e-02 
3.73461479175747e-02, 2.28827614611854e-02 
3.97555768154827e-02, 2.51028009970456e-02 
4.21650057133907e-02, 2.73184759471947e-02 
4.45744346112988e-02, 2.95670338603279e-02 
4.69838635092068e-02, 3.17668709937592e-02 
4.93932924071149e-02, 3.45300367569402e-02 
5.18027213050229e-02, 3.75825287670288e-02 
5.42121502029309e-02, 4.08436789187610e-02 
5.66215791008390e-02, 4.41411138170570e-02 
5.90310079987471e-02, 4.77686788484518e-02 
6.14404368966551e-02, 5.13962438798466e-02 
6.38498657945632e-02, 5.55820410805455e-02 
6.62592946924712e-02, 6.00106370415780e-02 
6.86687235903792e-02, 6.45929478419867e-02 
7.10781524882873e-02, 6.97156285778541e-02 
7.34875813861953e-02, 7.48383093137216e-02 
7.58970102841034e-02, 8.40903256080924e-02 
7.83064391820114e-02, 9.40492910779863e-02 
8.07158680799194e-02, 1.05770814161782e-01 
8.31252969778275e-02, 1.20624227906689e-01 
8.55347258757355e-02, 1.35299962758787e-01 
8.79441547736436e-02, 1.49575922696028e-01 
9.03535836715516e-02, 1.63944378063578e-01 
9.27630125694597e-02, 1.77795914892412e-01 
9.51724414673677e-02, 1.91750114090170e-01 
9.75818703652758e-02, 2.07047923758463e-01 
9.99912992631838e-02, 2.22746263460887e-01 
1.02400728161092e-01, 2.41140145466938e-01 
1.04810157059000e-01, 2.59870733785380e-01 
1.07219585956908e-01, 2.79270142989935e-01 
1.09629014854816e-01, 3.02523258958417e-01 
1.12038443752724e-01, 3.30271611524756e-01 
1.14447872650632e-01, 3.76019836699047e-01 
1.16857301548540e-01, 4.36831304202435e-01 
1.19266730446448e-01, 4.70858202815251e-01 
