Strain, Tx, Tz 
-3.51919166828474e-01, -6.97975349452191e-01, -2.75424494153560e-02 
-3.44809688710727e-01, -6.16167579586689e-01, -4.05788055513831e-02 
-3.37700210592980e-01, -5.76199853300698e-01, -4.32960308998783e-02 
-3.30590732475233e-01, -5.39598292153993e-01, -4.97046101563550e-02 
-3.23481254357486e-01, -4.89201134165712e-01, -5.25143614463897e-02 
-3.16371776239739e-01, -4.54005765059951e-01, -5.52023654981268e-02 
-3.09262298121992e-01, -4.18888202687589e-01, -5.97143010497428e-02 
-3.02152820004245e-01, -3.81109474806976e-01, -6.28725517402277e-02 
-2.95043341886498e-01, -3.57351121610113e-01, -6.39382912495996e-02 
-2.87933863768751e-01, -3.38491824819561e-01, -6.49133580753939e-02 
-2.80824385651004e-01, -3.07989780658251e-01, -6.63593171676928e-02 
-2.73714907533257e-01, -2.79661073880090e-01, -6.68457703469297e-02 
-2.66605429415510e-01, -2.60784626821081e-01, -6.60991329008532e-02 
-2.59495951297763e-01, -2.39074653504815e-01, -6.41453342797094e-02 
-2.52386473180017e-01, -2.22580568748971e-01, -6.41047682484270e-02 
-2.45276995062270e-01, -2.12218219698428e-01, -6.46984444725769e-02 
-2.38167516944523e-01, -2.00144336366094e-01, -6.33930863031572e-02 
-2.31058038826776e-01, -1.84898492571234e-01, -6.04935366893393e-02 
-2.23948560709029e-01, -1.76182063450008e-01, -5.93364978812266e-02 
-2.16839082591282e-01, -1.68391051309579e-01, -5.81657857174657e-02 
-2.09729604473535e-01, -1.57982708442467e-01, -5.65695493348071e-02 
-2.02620126355788e-01, -1.48984347268551e-01, -5.26639336652073e-02 
-1.95510648238041e-01, -1.42056921349886e-01, -4.72369619296032e-02 
-1.88401170120294e-01, -1.34863786807818e-01, -4.62161955608162e-02 
-1.81291692002547e-01, -1.26643366144885e-01, -4.38559020608673e-02 
-1.74182213884800e-01, -1.18340177027342e-01, -4.07109284885837e-02 
-1.67072735767053e-01, -1.12220836185645e-01, -3.99864640262741e-02 
