Strain, Tz 
-1.19024150737310e-01, -2.07222925623993e+00 
-1.16619622439586e-01, -1.96446137538066e+00 
-1.14215094141863e-01, -1.78914063380714e+00 
-1.11810565844139e-01, -1.56862532172743e+00 
-1.09406037546416e-01, -1.44738223299472e+00 
-1.07001509248692e-01, -1.35484171292415e+00 
-1.04596980950969e-01, -1.27230465101287e+00 
-1.02192452653246e-01, -1.20068134712064e+00 
-9.97879243555221e-02, -1.12834221181233e+00 
-9.73833960577987e-02, -1.05219538507283e+00 
-9.49788677600752e-02, -9.80372165221190e-01 
-9.25743394623518e-02, -9.11241236080320e-01 
-9.01698111646284e-02, -8.58553703917199e-01 
-8.77652828669050e-02, -8.11410751128381e-01 
-8.53607545691815e-02, -7.66086835125450e-01 
-8.29562262714581e-02, -7.20677928770382e-01 
-8.05516979737347e-02, -6.78684344127416e-01 
-7.81471696760113e-02, -6.41159485188223e-01 
-7.57426413782879e-02, -6.03841166161258e-01 
-7.33381130805644e-02, -5.66647618541212e-01 
-7.09335847828410e-02, -5.32633114514934e-01 
-6.85290564851176e-02, -4.98635804509154e-01 
-6.61245281873942e-02, -4.65719586669141e-01 
-6.37199998896707e-02, -4.33644098834589e-01 
-6.13154715919473e-02, -4.01308477350337e-01 
-5.89109432942239e-02, -3.66645176999060e-01 
-5.65064149965005e-02, -3.31223285319370e-01 
-5.41018866987770e-02, -3.01021822383330e-01 
-5.16973584010536e-02, -2.71681443837866e-01 
-4.92928301033302e-02, -2.51331593486606e-01 
-4.68883018056068e-02, -2.36714301069265e-01 
-4.44837735078833e-02, -2.23640137058870e-01 
-4.20792452101599e-02, -2.11772436941065e-01 
-3.96747169124365e-02, -2.00081022955197e-01 
-3.72701886147131e-02, -1.88171102171510e-01 
-3.48656603169896e-02, -1.77439613170534e-01 
-3.24611320192662e-02, -1.66688797944508e-01 
-3.00566037215428e-02, -1.55114143029867e-01 
-2.76520754238194e-02, -1.43398782581175e-01 
-2.52475471260959e-02, -1.29241358198134e-01 
-2.28430188283725e-02, -1.15912266412983e-01 
-2.04384905306491e-02, -1.00893589745288e-01 
-1.80339622329257e-02, -8.57082800186686e-02 
-1.56294339352022e-02, -7.10458048616078e-02 
-1.32249056374788e-02, -6.12979655511728e-02 
-1.08203773397554e-02, -4.84952893132904e-02 
-8.41584904203197e-03, -3.61615442555354e-02 
-6.01132074430855e-03, -2.48667757219960e-02 
-3.60679244658513e-03, -1.41367231534909e-02 
-1.20226414886171e-03, -3.82437268178460e-03 
1.20226414886170e-03, 3.82437268178455e-03 
3.60679244658514e-03, 1.11663946646736e-02 
6.01132074430856e-03, 1.80676346244512e-02 
8.41584904203200e-03, 2.47115842771590e-02 
1.08203773397554e-02, 3.10957719988142e-02 
1.32249056374788e-02, 3.72779285383556e-02 
1.56294339352022e-02, 4.36409705105107e-02 
1.80339622329257e-02, 4.98942488710371e-02 
2.04384905306491e-02, 5.79778735263128e-02 
2.28430188283725e-02, 6.63228634747715e-02 
2.52475471260960e-02, 7.52959980700738e-02 
2.76520754238194e-02, 8.45833928201461e-02 
3.00566037215428e-02, 9.43030805372040e-02 
3.24611320192662e-02, 1.03050083996340e-01 
3.48656603169896e-02, 1.12237981620531e-01 
3.72701886147131e-02, 1.20731319865111e-01 
3.96747169124365e-02, 1.29739305657152e-01 
4.20792452101599e-02, 1.38787498497305e-01 
4.44837735078833e-02, 1.47668341667273e-01 
4.68883018056068e-02, 1.56602853399619e-01 
4.92928301033302e-02, 1.64824923335730e-01 
5.16973584010536e-02, 1.72962070528711e-01 
5.41018866987771e-02, 1.80985770346111e-01 
5.65064149965005e-02, 1.90532525431942e-01 
5.89109432942239e-02, 1.99982373560255e-01 
6.13154715919473e-02, 2.10081368952281e-01 
6.37199998896707e-02, 2.21711723483167e-01 
6.61245281873941e-02, 2.35109348933130e-01 
6.85290564851176e-02, 2.51760531791194e-01 
7.09335847828410e-02, 2.68843380235931e-01 
7.33381130805644e-02, 2.86386013053457e-01 
7.57426413782879e-02, 3.04273357826642e-01 
7.81471696760113e-02, 3.19412538845267e-01 
8.05516979737347e-02, 3.33036993860000e-01 
8.29562262714581e-02, 3.46894885704831e-01 
8.53607545691815e-02, 3.60646649541994e-01 
8.77652828669050e-02, 3.76494597086839e-01 
9.01698111646284e-02, 3.92946117850206e-01 
9.25743394623518e-02, 4.19339194255916e-01 
9.49788677600752e-02, 4.46381977212925e-01 
9.73833960577987e-02, 4.71012431237475e-01 
9.97879243555221e-02, 4.95288067753511e-01 
1.02192452653246e-01, 5.15645100295811e-01 
1.04596980950969e-01, 5.40054162327941e-01 
1.07001509248692e-01, 5.70798726576635e-01 
1.09406037546416e-01, 6.09000700987124e-01 
1.11810565844139e-01, 6.49332764749131e-01 
1.14215094141863e-01, 6.80748802735248e-01 
1.16619622439586e-01, 7.13740444543837e-01 
1.19024150737310e-01, 7.70810964744865e-01 
